Instance,Sepal Length in cm,Sepal Width in cm,Petal Length in cm,Petal Width in cm,Class
1,0,1,0,0,Iris-setosa
2,0,0,0,0,Iris-setosa
3,0,1,0,0,Iris-setosa
4,0,1,0,0,Iris-setosa
5,0,1,0,0,Iris-setosa
6,0,1,0,0,Iris-setosa
7,0,1,0,0,Iris-setosa
8,0,1,0,0,Iris-setosa
9,0,0,0,0,Iris-setosa
10,0,1,0,0,Iris-setosa
11,0,1,0,0,Iris-setosa
12,0,1,0,0,Iris-setosa
13,0,0,0,0,Iris-setosa
14,0,0,0,0,Iris-setosa
15,0,1,0,0,Iris-setosa
16,0,1,0,0,Iris-setosa
17,0,1,0,0,Iris-setosa
18,0,1,0,0,Iris-setosa
19,0,1,0,0,Iris-setosa
20,0,1,0,0,Iris-setosa
21,0,1,0,0,Iris-setosa
22,0,1,0,0,Iris-setosa
23,0,1,0,0,Iris-setosa
24,0,1,0,0,Iris-setosa
25,0,1,0,0,Iris-setosa
26,0,0,0,0,Iris-setosa
27,0,1,0,0,Iris-setosa
28,0,1,0,0,Iris-setosa
29,0,1,0,0,Iris-setosa
30,0,1,0,0,Iris-setosa
31,0,1,0,0,Iris-setosa
32,0,1,0,0,Iris-setosa
33,0,1,0,0,Iris-setosa
34,0,1,0,0,Iris-setosa
35,0,1,0,0,Iris-setosa
36,0,1,0,0,Iris-setosa
37,0,1,0,0,Iris-setosa
38,0,1,0,0,Iris-setosa
39,0,0,0,0,Iris-setosa
40,0,1,0,0,Iris-setosa
41,0,1,0,0,Iris-setosa
42,0,0,0,0,Iris-setosa
43,0,1,0,0,Iris-setosa
44,0,1,0,0,Iris-setosa
45,0,1,0,0,Iris-setosa
46,0,0,0,0,Iris-setosa
47,0,1,0,0,Iris-setosa
48,0,1,0,0,Iris-setosa
49,0,1,0,0,Iris-setosa
50,0,1,0,0,Iris-setosa
51,1,1,1,1,Iris-versicolor
52,1,1,1,1,Iris-versicolor
53,1,1,1,1,Iris-versicolor
54,0,0,1,1,Iris-versicolor
55,1,0,1,1,Iris-versicolor
56,0,0,1,1,Iris-versicolor
57,1,1,1,1,Iris-versicolor
58,0,0,0,0,Iris-versicolor
59,1,0,1,1,Iris-versicolor
60,0,0,1,1,Iris-versicolor
61,0,0,0,0,Iris-versicolor
62,1,0,1,1,Iris-versicolor
63,1,0,1,0,Iris-versicolor
64,1,0,1,1,Iris-versicolor
65,0,0,0,1,Iris-versicolor
66,1,1,1,1,Iris-versicolor
67,0,0,1,1,Iris-versicolor
68,0,0,1,0,Iris-versicolor
69,1,0,1,1,Iris-versicolor
70,0,0,1,0,Iris-versicolor
71,1,1,1,1,Iris-versicolor
72,1,0,1,1,Iris-versicolor
73,1,0,1,1,Iris-versicolor
74,1,0,1,1,Iris-versicolor
75,1,0,1,1,Iris-versicolor
76,1,0,1,1,Iris-versicolor
77,1,0,1,1,Iris-versicolor
78,1,0,1,1,Iris-versicolor
79,1,0,1,1,Iris-versicolor
80,0,0,0,0,Iris-versicolor
81,0,0,1,0,Iris-versicolor
82,0,0,0,0,Iris-versicolor
83,0,0,1,1,Iris-versicolor
84,1,0,1,1,Iris-versicolor
85,0,0,1,1,Iris-versicolor
86,1,1,1,1,Iris-versicolor
87,1,1,1,1,Iris-versicolor
88,1,0,1,1,Iris-versicolor
89,0,0,1,1,Iris-versicolor
90,0,0,1,1,Iris-versicolor
91,0,0,1,1,Iris-versicolor
92,1,0,1,1,Iris-versicolor
93,0,0,1,1,Iris-versicolor
94,0,0,0,0,Iris-versicolor
95,0,0,1,1,Iris-versicolor
96,0,0,1,1,Iris-versicolor
97,0,0,1,1,Iris-versicolor
98,1,0,1,1,Iris-versicolor
99,0,0,0,0,Iris-versicolor
100,0,0,1,1,Iris-versicolor
101,1,1,1,1,Iris-virginica
102,0,0,1,1,Iris-virginica
103,1,0,1,1,Iris-virginica
104,1,0,1,1,Iris-virginica
105,1,0,1,1,Iris-virginica
106,1,0,1,1,Iris-virginica
107,0,0,1,1,Iris-virginica
108,1,0,1,1,Iris-virginica
109,1,0,1,1,Iris-virginica
110,1,1,1,1,Iris-virginica
111,1,1,1,1,Iris-virginica
112,1,0,1,1,Iris-virginica
113,1,0,1,1,Iris-virginica
114,0,0,1,1,Iris-virginica
115,0,0,1,1,Iris-virginica
116,1,1,1,1,Iris-virginica
117,1,0,1,1,Iris-virginica
118,1,1,1,1,Iris-virginica
119,1,0,1,1,Iris-virginica
120,1,0,1,1,Iris-virginica
121,1,1,1,1,Iris-virginica
122,0,0,1,1,Iris-virginica
123,1,0,1,1,Iris-virginica
124,1,0,1,1,Iris-virginica
125,1,1,1,1,Iris-virginica
126,1,1,1,1,Iris-virginica
127,1,0,1,1,Iris-virginica
128,1,0,1,1,Iris-virginica
129,1,0,1,1,Iris-virginica
130,1,0,1,1,Iris-virginica
131,1,0,1,1,Iris-virginica
132,1,1,1,1,Iris-virginica
133,1,0,1,1,Iris-virginica
134,1,0,1,1,Iris-virginica
135,1,0,1,1,Iris-virginica
136,1,0,1,1,Iris-virginica
137,1,1,1,1,Iris-virginica
138,1,1,1,1,Iris-virginica
139,1,0,1,1,Iris-virginica
140,1,1,1,1,Iris-virginica
141,1,1,1,1,Iris-virginica
142,1,1,1,1,Iris-virginica
143,0,0,1,1,Iris-virginica
144,1,1,1,1,Iris-virginica
145,1,1,1,1,Iris-virginica
146,1,0,1,1,Iris-virginica
147,1,0,1,1,Iris-virginica
148,1,0,1,1,Iris-virginica
149,1,1,1,1,Iris-virginica
150,1,0,1,1,Iris-virginica
